Variable,Problema detectado,Transformación,Registros afectados,Justificación
(fila completa),Filas 100% vacías (separadores de exportación),Eliminación de la fila,22,No corresponden a establecimientos reales; son artefactos de la concatenación de descargas por departamento
DISTRITO,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,3944,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
DEPARTAMENTO,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,9155,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
MUNICIPIO,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,9685,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
ESTABLECIMIENTO,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,9702,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
DIRECCION,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,9636,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
TELEFONO,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,9017,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
SUPERVISOR,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,9399,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
DIRECTOR,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,8509,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
SECTOR,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,9411,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
AREA,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,9704,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
STATUS,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,8420,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
MODALIDAD,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,467,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
JORNADA,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,8754,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
PLAN,"Espacios iniciales/finales, espacios múltiples o caracteres invisibles",str.strip() + colapso de espacios con regex '\s+' + remoción de NBSP,9648,Estandariza el texto sin alterar el contenido semántico; requisito para comparaciones e igualdad exacta más adelante
DISTRITO,"Valores vacíos o placeholders de 'sin dato' ('--','-','.','S/D', celda vacía)",Reemplazo por NaN explícito,301,"Unifica todas las representaciones de ""dato no disponible"" bajo un único valor nulo estándar, requisito para conteos de faltantes correctos"
ESTABLECIMIENTO,"Valores vacíos o placeholders de 'sin dato' ('--','-','.','S/D', celda vacía)",Reemplazo por NaN explícito,3,"Unifica todas las representaciones de ""dato no disponible"" bajo un único valor nulo estándar, requisito para conteos de faltantes correctos"
DIRECCION,"Valores vacíos o placeholders de 'sin dato' ('--','-','.','S/D', celda vacía)",Reemplazo por NaN explícito,78,"Unifica todas las representaciones de ""dato no disponible"" bajo un único valor nulo estándar, requisito para conteos de faltantes correctos"
TELEFONO,"Valores vacíos o placeholders de 'sin dato' ('--','-','.','S/D', celda vacía)",Reemplazo por NaN explícito,682,"Unifica todas las representaciones de ""dato no disponible"" bajo un único valor nulo estándar, requisito para conteos de faltantes correctos"
SUPERVISOR,"Valores vacíos o placeholders de 'sin dato' ('--','-','.','S/D', celda vacía)",Reemplazo por NaN explícito,304,"Unifica todas las representaciones de ""dato no disponible"" bajo un único valor nulo estándar, requisito para conteos de faltantes correctos"
DIRECTOR,"Valores vacíos o placeholders de 'sin dato' ('--','-','.','S/D', celda vacía)",Reemplazo por NaN explícito,1362,"Unifica todas las representaciones de ""dato no disponible"" bajo un único valor nulo estándar, requisito para conteos de faltantes correctos"
"CODIGO, DISTRITO",Almacenados como texto pero podrían inferirse como numéricos por error,astype('string') explícito,9706,"Convertirlos a numérico eliminaría ceros a la izquierda y el formato con guiones, perdiendo su función de identificador"
"DEPARTAMENTO, MUNICIPIO, NIVEL, SECTOR, AREA, STATUS, MODALIDAD, JORNADA, PLAN",Variables categóricas almacenadas como texto libre,astype('category'),9706,"Refleja su naturaleza de dominio cerrado, reduce memoria y facilita validaciones de dominio posteriores"
DEPARTAMENTO,Inconsistencia de tildes frente a 'DEPARTAMENTAL' (p.ej. 'PETEN' vs 'PETÉN'),Se aplican las tildes oficiales del nombre del departamento usando un diccionario de mapeo cerrado (22 departamentos),2025,"Unifica la representación del mismo departamento en ambas variables, evitando categorías duplicadas por tildes"
"MUNICIPIO, DEPARTAMENTO, SECTOR, AREA, STATUS, MODALIDAD, JORNADA, PLAN","Posibles variantes de escritura del mismo valor categórico (typos, mayúsculas/minúsculas)","Búsqueda de pares con similitud de cadenas (RapidFuzz, umbral 88) dentro de cada dominio; NINGÚN par superó el umbral",0,"Confirma objetivamente (con evidencia de código) que estas variables ya llegan estandarizadas desde el MINEDUC (son selección tipo dropdown en el buscador, no texto libre); no se requiere unificación"
"DIRECTOR, SUPERVISOR, ESTABLECIMIENTO, DIRECCION",Mezcla de mayúsculas y minúsculas en un mismo campo (p.ej. nombres de personas),"Conversión a mayúscula consistente con str.upper() (consistente con el resto del dataset, que ya es ~99% mayúsculas)",35,"Unifica el estilo de escritura sin alterar el contenido; evita que ""Juan Pérez"" y ""JUAN PÉREZ"" se traten como distintos"
TELEFONO,"Campo con uno o varios números concatenados por ""-"" o ""/""","Separación en TELEFONO_PRINCIPAL (primer número) y TELEFONO_ADICIONAL (resto, separados por ';')",105,Evita perder información de contacto adicional sin mezclar varios números en un solo campo
TELEFONO,Números con una cantidad de dígitos distinta a 8 (estándar en Guatemala) o formato no numérico,Se crea la bandera booleana TELEFONO_VALIDO; NO se descarta ni se modifica el valor original,71,"Permite filtrar/reportar teléfonos dudosos sin perder el dato crudo, ya que podría tratarse de un error de captura corregible manualmente"
"DEPARTAMENTO, NIVEL",Verificación de valores fuera del dominio esperado,Comparación contra catálogo cerrado (22 departamentos) y contra el valor único esperado (DIVERSIFICADO),0,Confirma que no hay valores fuera de dominio tras la limpieza de las secciones anteriores
(fila completa),Registros duplicados exactos (idénticos en todas las columnas originales),Eliminación conservando la primera ocurrencia (pandas.drop_duplicates),0,Son literalmente el mismo registro repetido; no aportan información adicional
"ESTABLECIMIENTO, DIRECCION (grupo)","Registros con nombre y dirección altamente similares (RapidFuzz >=92/90), mismo municipio, mismo jornada/plan, CODIGO distinto",Se crea la bandera POSIBLE_DUPLICADO=True; NO se fusionan ni eliminan automáticamente,1689,"La similitud de nombre/dirección no es suficiente para asumir que es un error de captura: podría tratarse de reinscripciones administrativas legítimas del mismo establecimiento (p.ej. cambio de código oficial). Se documenta para revisión manual, cumpliendo la instrucción de no eliminar automáticamente."
"DEPARTAMENTO, DEPARTAMENTAL",Verificación de consistencia geográfica entre ambas variables,Comparación tras normalizar tildes y sufijo regional,0,Confirma que ambas variables son consistentes entre sí tras la limpieza de tildes de la sección 4.5
REGION,Variable no existente en los datos originales,Derivada de DEPARTAMENTO mediante diccionario de mapeo a las 8 regiones oficiales de Guatemala,9706,Facilita análisis agregados a nivel regional sin tener que repetir agrupaciones de departamentos en cada análisis
